identifier	prefLabel	altLabel	description	historyNote
homoit0001388	Afrolateinamerikanische trans Personen	Trans afrolateinamerikanische Personen	Transgender Personen afrikanischer Abstammung, die in lateinamerikanischen Ländern geboren sind, oder Transgender Personen, die in afrikanischen Ländern geboren sind und in lateinamerikanischen Ländern leben oder eine starke Verbindung zu lateinamerikanischen Ländern haben. Nur für Personen verwenden, die sich selbst als afrolateinamerikanisch bezeichnen.	
homoit0000020	Schutzalter	Mündigkeitsalter	Das Alter, in dem eine Person als rechtlich befähigt gilt, in sexuelle Handlungen einzuwilligen. Das Schutzalter variiert je nach Land, Staat oder Kultur.	
homoit0000022	Ageplay	ABDL	Rollenspiele in der Rolle von Personen unterschiedlichen Alters, meist als Kinder, zum Spaß oder zum erotischen Vergnügen.	
homoit0001927	Agender Identität		Identitätsbegriff für Personen, die kein Gender haben oder sich mit der Genderlosigkeit identifizieren.	
homoit0000021	Agender Personen		Personen, sich als kein Gender habend identifizieren oder genderlos sind.	
homoit0000023	Agî	Agi	Philippinisches Wort, das sowohl Hermaphrodit als auch eine schwule Beleidigung bedeuten kann	
homoit0000024	AIDS-Aktivist:innen		Personen, die sich für soziale und politische Veränderungen zugunsten der von HIV/AIDS betroffenen Menschen einsetzen.	
homoit0000025	AIDS-Sensibilisierung	Sensibilisierung zu AIDS||Informationen über AIDS||Beratung zu AIDS	Aktivismus und andere Bemühungen, die Aufmerksamkeit auf die AIDS-Epidemie zu lenken.	
homoit0002258	AIDS-Tod und -Sterben	Tod durch AIDS||Sterben durch AIDS	Erfahrungen im Zusammenhang mit Menschen, die an AIDS erkrankt sind und sich dem Ende ihres Lebens nähern oder dieses erreicht haben.	
homoit0000027	AIDS-Aufklärung	Aufklärung zu AIDS||Informationen über AIDS||Beratung zu AIDS	Unterrichtung über HIV/AIDS, einschließlich Themen wie die Geschichte der AIDS-Epidemie, Ansteckung, Prävention und Behandlung.	
homoit0000026	AIDS-Informationszentren	Informationszentren zu AIDS	Einrichtungen, die sich der Aufklärung, Vorbeugung und Behandlung von HIV/AIDS widmen; AIDS-Informationszentren bieten oft Dienste wie HIV-Beratung und -Tests an.	
homoit0000028	AIDS-Memorial-Quilts	AIDS-Gedenktücher||AIDS-Erinnerungstücher||Gedenktücher für an den Folgen von AIDS Verstorbene||Quilts für an den Folgen von AIDS Verstorbene||Memorial Quilts für an den Folgen von AIDS Verstorbene||Erinnerungstücher für an den Folgen von AIDS Verstorbene||Gedenktücher für an den Folgen von AIDS-Verstorbene	Quilts zum Gedenken an Menschen, die an den Folgen von AIDS gestorben sind, um auf die AIDS-Epidemie aufmerksam zu machen und den Betroffenen Unterstützung und Heilung zu bieten. Der Begriff wird häufig im Zusammenhang mit dem 1985 von Cleve Jones ins Leben gerufenen NAMES Project AIDS Memorial Quilt verwendet.	
