identifier	prefLabel	altLabel	description	historyNote
homoit0003360	Concursos de belleza drag		Eventos inspirados en concursos o certámenes de belleza tradicionales donde las concursantes, normalmente drag queens, imitadoras femeninas y mujeres trans, compiten en diversas categorías para ganar un premio o un título.	
homoit0003359	Shows drag	Drag shows	Actuaciones de una artista drag o de un grupo de artistas drag, que suelen incluir canto o sincronización labial (playback), rutinas de baile y sketches cómicos.	
homoit0003245	Programas televisivos drag	Programas de televisión drag	Programas de televisión donde aparecen drag queens y/o drag kings y actuaciones de drag.	
homoit0000381	Dutch boys	Lesbros	Jerga para hombres heterosexuales que son amigos de lesbianas y socializan en espacios lésbicos.	
homoit0003206	Solidaridad marimacha	Dyke solidarity	Un sentido de compañerismo y unidad general de propósito, interés político y/o simpatías comunitarias basadas en experiencias compartidas como marimachas autoidentificadas.	
homoit0002835	Modelo de cirugía genital temprana		Modelo de atención al paciente desarrollado por John Money, un psicólogo neozelandés que teorizó que el género dependía completamente de la "crianza". Este modelo aboga por realizar cirugía genital a bebés intersexuales y criarlos como niñas. Las teorías de Money han dado lugar a que muchos niños sometidos a cirugías sean malgenerizados y hayan tenido que lidiar con disforia de género, depresión, disfunción sexual, incontinencia intestinal y urinaria, y dolor nervioso durante toda su vida. Ahora se prefiere un modelo centrado en el paciente, donde al niño intersexual se le permite crecer y tomar sus propias decisiones con respecto a su género y opción quirúrgica.	
homoit0000412	Exhibicionismo		Kink caracterizado por el deseo sexual de exhibir el propio cuerpo o realizar actividades sexuales en público.	
homoit0003406	Padres de personas no binarixs	Papás de personas no binarias||Padres de personas no binarias	Personas que asumen el rol de padre de personas no binarias. Utilícese únicamente para describir a personas que se autoidentifican como padres.	
homoit0002043	De centro femenino	Feminine of center||De centro femme||Femme of center||Femenina de centro||De centro fem||Femme de centro	Término utilizado para describir a las personas cuya expresión de género es más femenina que andrógina. Generalmente se utiliza como autodescriptor en las comunidades LGBTQ+.	
homoit0003407	Personas no binarias garhwalis	Personas garhwalis no binarias||Garhwalis no binarixs||No binarixs garhwalis	Personas no binarias que pertenecen o son descendientes de las personas nativas de Garhwal en Uttarakhand y hablan garhwali.	
homoit0003268	Académicos gay	Profesores de universidad gay||Investigadores gay||	Investigadores y/o educadores gay que trabajan en la enseñanza superior.	
homoit0003489	Literatura infantil gay	Literatura gay infantil	Obras literarias escritas para un público de lectores de hasta 12 años de edad, también conocidas como literatura infantil. Se utiliza en referencia a la literatura infantil centrada en personajes o temas gay.	
homoit0003427	Novelas gráficas gay		Obras que consisten en imágenes secuenciales, a menudo acompañadas de texto que generalmente contienen historias independientes; utilizado en referencia a novelas gráficas que se centran en personajes o temas gay.	
homoit0003197	Solidaridad gay		Un sentido de compañerismo y unidad general de propósito, interés político y/o simpatías comunitarias basadas en experiencias compartidas como hombres gay.	
homoit0003252	Docentes gay	Profesores gay	Docentes o profesores que se autoidentifican como hombres gay.	
